Id,Title,Description,Image,Price
1716,Оксамитовий трюфель,Ганаш з білого шоколаду зі смаком манго та цитрусових у чорносмородиновій пудрі,https://www.chocolate.lviv.ua/image.php?ch_productid=1716&maxx=230&maxy=230&fit=fitxy,20
1428,Нусвальд,"Поєднання мигдалевого праліне, чорної смородини, мигдалю та повітряного рису в білому шоколаді.Строк придатності – 60...",https://www.chocolate.lviv.ua/image.php?ch_productid=1428&maxx=230&maxy=230&fit=fitxy,25
1256,Шварцвальд,"Поєднання журавлини, мигдалю та кеш'ю в молочному шоколаді та какао.",https://www.chocolate.lviv.ua/image.php?ch_productid=1256&maxx=230&maxy=230&fit=fitxy,25
288,Кайзервальд,"Поєднання мигдалю, лісових горіхів, кеш'ю та фісташок в білому шоколаді та какао. ",https://www.chocolate.lviv.ua/image.php?ch_productid=288&maxx=230&maxy=230&fit=fitxy,25
327,Кавова імпреза,Ніжне поєднання молочно-горіхової та вершково-коньячної начинки з легким присмаком кави. ,https://www.chocolate.lviv.ua/image.php?ch_productid=327&maxx=230&maxy=230&fit=fitxy,25
1000,Бананова льоля,"Ганаш на основі білого шоколаду з додаванням пасти банану в білому шоколаді та у жовтому цукрі.
20% від продажу цього...",https://www.chocolate.lviv.ua/image.php?ch_productid=1000&maxx=230&maxy=230&fit=fitxy,19
1728,Блакитна льоля,Ганаш на основі білого шоколаду з додаванням пасти банану в білому шоколаді та у синьому цукрі (натуральний барвник...,https://www.chocolate.lviv.ua/image.php?ch_productid=1728&maxx=230&maxy=230&fit=fitxy,19
1389,Абрикосовий мармелад,"Мармелад на основі абрикосового пюре в молочному шоколаді. Входить до набору цукерок:""ЛАДНІ МАРМЕЛАДНІ""",https://www.chocolate.lviv.ua/image.php?ch_productid=1389&maxx=230&maxy=230&fit=fitxy,19
1390,Мандариновий мармелад,"Мармелад на основі мандаринового пюре в чорному шоколаді.Входить до набору цукерок:""ЛАДНІ МАРМЕЛАДНІ""",https://www.chocolate.lviv.ua/image.php?ch_productid=1390&maxx=230&maxy=230&fit=fitxy,19
1392,Чорносмородиновий мармелад,"Мармелад на основі пюре з чорної смородини в молочному шоколаді.Входить до набору цукерок:""ЛАДНІ МАРМЕЛАДНІ""",https://www.chocolate.lviv.ua/image.php?ch_productid=1392&maxx=230&maxy=230&fit=fitxy,19
1355,Лимонний мармелад,"Мармелад на основі лимонного соку в чорному шоколаді. Входить до набору цукерок:""ЛАДНІ МАРМЕЛАДНІ""",https://www.chocolate.lviv.ua/image.php?ch_productid=1355&maxx=230&maxy=230&fit=fitxy,19
1353,Горіхові клейноди кеш’ю в молочному шоколаді,Карамелізовані горіхи кеш'ю з нотками солі в молочному шоколаді,https://www.chocolate.lviv.ua/image.php?ch_productid=1353&maxx=230&maxy=230&fit=fitxy,20
1354,Горіхові клейноди кеш’ю в чорному шоколаді,Карамелізовані горіхи кеш'ю з нотками солі в чорному шоколаді,https://www.chocolate.lviv.ua/image.php?ch_productid=1354&maxx=230&maxy=230&fit=fitxy,20
310,Класичний трюфель,"Ганаш на основі чорного шоколаду та вершків, вкритий алкалізованим какао. Входить до набору цукерок ""ТРЮФЕЛЯДА""",https://www.chocolate.lviv.ua/image.php?ch_productid=310&maxx=230&maxy=230&fit=fitxy,19
286,Дзиґа в кокосі,"Легкий крем на основі білого шоколаду в кокосі. Входить до наборів з цукерками: ""НАБІР ЦУКЕРОК В ДЕРЕВ’ЯНІЙ КОРОБЦІ"",...",https://www.chocolate.lviv.ua/image.php?ch_productid=286&maxx=230&maxy=230&fit=fitxy,19
1391,Мармелад з маракуї,Мармелад на основі пюре з маракуї в білому шоколаді,https://www.chocolate.lviv.ua/image.php?ch_productid=1391&maxx=230&maxy=230&fit=fitxy,19
1321,Квартка,Шоколадно-карамельний ганаш з віддтінком солі в молочному шоколаді.,https://www.chocolate.lviv.ua/image.php?ch_productid=1321&maxx=230&maxy=230&fit=fitxy,19
317,Полунична цьомка,Ганаш на основі білого шоколаду з полуничним смаком,https://www.chocolate.lviv.ua/image.php?ch_productid=317&maxx=230&maxy=230&fit=fitxy,19
293,Віденський трюфель,"Ніжна кремова начинка зі смаком кави, вкрита чорним шоколадом.",https://www.chocolate.lviv.ua/image.php?ch_productid=293&maxx=230&maxy=230&fit=fitxy,19
1251,Карамельна захцянка,"Ганаш на основі білого шоколаду з додаванням вершкового масла та карамельної пасти, вкритий чорним шоколадом та...",https://www.chocolate.lviv.ua/image.php?ch_productid=1251&maxx=230&maxy=230&fit=fitxy,19
878,Маланка,М'яка карамель з додаванням білого шоколаду та мигдалю у молочному шоколаді. ,https://www.chocolate.lviv.ua/image.php?ch_productid=878&maxx=230&maxy=230&fit=fitxy,19
874,Горіховий ґудз,Ганаш на основі білого шоколаду з карамелізованими горішками у молочному шоколаді. ,https://www.chocolate.lviv.ua/image.php?ch_productid=874&maxx=230&maxy=230&fit=fitxy,20
328,Бонг,"Ганаш на основі чорного шоколаду з відтінком коньяку, вкритий молочним шоколадом та какао. ",https://www.chocolate.lviv.ua/image.php?ch_productid=328&maxx=230&maxy=230&fit=fitxy,19
285,Дзиґа в горісі,Ніжний вершковий крем на основі білого шоколаду вкритий чорним шоколадом та крихтами мигдалю. ,https://www.chocolate.lviv.ua/image.php?ch_productid=285&maxx=230&maxy=230&fit=fitxy,19
1320,Емерит,"Глазуровані чорним шоколадом цукерки круглої форми, обсипані шоколадним цукром. Корпус — марципаново-шоколадний з...",https://www.chocolate.lviv.ua/image.php?ch_productid=1320&maxx=230&maxy=230&fit=fitxy,19
880,Метелик,Полунично-бананова начинка на основі білого шоколаду у молочному та білому шоколаді.,https://www.chocolate.lviv.ua/image.php?ch_productid=880&maxx=230&maxy=230&fit=fitxy,19
326,Авантура,Смачнюче поєднання праліне та марципаново-ромової начинки у чорному шоколаді.,https://www.chocolate.lviv.ua/image.php?ch_productid=326&maxx=230&maxy=230&fit=fitxy,22
321,Серце Львова,Ніжна полунична начинка в молочному шоколаді,https://www.chocolate.lviv.ua/image.php?ch_productid=321&maxx=230&maxy=230&fit=fitxy,19
308,Горіхові клейноди молочні,"Карамелізовані лісові горішки, вкриті молочним шоколадом.",https://www.chocolate.lviv.ua/image.php?ch_productid=308&maxx=230&maxy=230&fit=fitxy,20
309,Горіхові клейноди чорні,"Карамелізовані лісові горішки, вкриті чорним шоколадом.",https://www.chocolate.lviv.ua/image.php?ch_productid=309&maxx=230&maxy=230&fit=fitxy,20
306,Солодкі пацьорки,"Вершковий крем на основі білого шоколаду з відтінком рому, вкритий чорним шоколадом та крихтами молочного шоколаду. ",https://www.chocolate.lviv.ua/image.php?ch_productid=306&maxx=230&maxy=230&fit=fitxy,19
330,Чоколядовий бамбетель чорний,Ганаш на основі молочного шоколаду з легким смаком карамелі та кави у чорному шоколаді та в хрустких пластівцях.,https://www.chocolate.lviv.ua/image.php?ch_productid=330&maxx=230&maxy=230&fit=fitxy,22
331,Чоколядовий бамбетель молочний,Ганаш на основі молочного шоколаду з легким смаком карамелі та кави в молочному шоколаді та в хрустких пластівцях.,https://www.chocolate.lviv.ua/image.php?ch_productid=331&maxx=230&maxy=230&fit=fitxy,22
333,Чоколядовий бамбетель карамельний,Ганаш на основі молочного шоколаду з легким смаком карамелі та кави у білому шоколаді та в хрустких пластівцях. ,https://www.chocolate.lviv.ua/image.php?ch_productid=333&maxx=230&maxy=230&fit=fitxy,22
290,Львівська амурка,"Легкий крем на основі молочного шоколаду, вкритий мигдалевими пластівцями. ",https://www.chocolate.lviv.ua/image.php?ch_productid=290&maxx=230&maxy=230&fit=fitxy,19
332,Чоколядовий бамбетель білий,Ганаш на основі молочного шоколаду з легким смаком карамелі та кави у білому шоколаді та мигдалевих пластівцях. ,https://www.chocolate.lviv.ua/image.php?ch_productid=332&maxx=230&maxy=230&fit=fitxy,22
291,Марц і Панна,Кавово-марципанова начинка в білому шоколаді з цільним грецьким горіхом.,https://www.chocolate.lviv.ua/image.php?ch_productid=291&maxx=230&maxy=230&fit=fitxy,20
875,Дефіляда,Поєднання трьох видів шоколаду з додаванням мигдалевих пластівців і лісового горіху в чорному шоколаді,https://www.chocolate.lviv.ua/image.php?ch_productid=875&maxx=230&maxy=230&fit=fitxy,22
320,Фрау Цимер,"Фісташковий ганаш на основі білого шоколаду, вкритий фісташковими крихтами.",https://www.chocolate.lviv.ua/image.php?ch_productid=320&maxx=230&maxy=230&fit=fitxy,20
298,Королівська,"Горіховий крем, загорнутий в кавовий марципан з цільним лісовим горішком, вкритий чорним шоколадом.",https://www.chocolate.lviv.ua/image.php?ch_productid=298&maxx=230&maxy=230&fit=fitxy,22
715,Вишневий шпацер,"Марципаново-вишнева начинка з сушеною вишнею, настояною на коньяку. ",https://www.chocolate.lviv.ua/image.php?ch_productid=715&maxx=230&maxy=230&fit=fitxy,25
307,Шоколатьє,Горіхове праліне в молочному шоколаді прикрашене кавовим зернятком. ,https://www.chocolate.lviv.ua/image.php?ch_productid=307&maxx=230&maxy=230&fit=fitxy,20
887,Солодка штука,Ніжне праліне у поєднанні з хрусткими пластівцями в молочному шоколаді. ,https://www.chocolate.lviv.ua/image.php?ch_productid=887&maxx=230&maxy=230&fit=fitxy,22
1469,Пані Сливка в молочному шоколаді,"Королівський чорнослив з горішком кеш'ю, вкритий молочним шоколадом",https://www.chocolate.lviv.ua/image.php?ch_productid=1469&maxx=230&maxy=230&fit=fitxy,24
1470,Пані Сливка в чорному шоколаді,"Королівський чорнослив з горішком кеш'ю, вкритий чорним шоколадом
 ",https://www.chocolate.lviv.ua/image.php?ch_productid=1470&maxx=230&maxy=230&fit=fitxy,24
